date,eur_rub
2026-07-09,93.25
2026-07-10,92.44
2026-07-11,93.58
2026-07-12,93.58
2026-07-13,93.58
2026-07-14,93.49
2026-07-15,94.5
2026-07-16,94.91
2026-07-17,95.36
2026-07-18,95.97
2026-07-19,95.97
2026-07-20,95.97
2026-07-21,95.6
2026-07-22,95.81
2026-07-23,95.65
2026-07-24,95.48
2026-07-25,94.89
2026-07-26,94.89
2026-07-27,94.89
2026-07-28,94.75
2026-07-29,95.68
2026-07-30,96.29
2026-07-31,97.01
2026-08-01,97.35
2026-08-02,97.35
2026-08-03,97.35
2026-08-04,98.17
2026-08-05,99.9
2026-08-06,99.48
2026-08-07,100.41
2026-08-08,101.24
2026-08-09,101.24
2026-08-10,101.24
2026-08-11,101.72
2026-08-12,101.61
2026-08-13,102.24
2026-08-14,103.28
2026-08-15,104.1
2026-08-16,104.1
2026-08-17,104.1
